guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
michaelsanders@shaw.net,False,BASIC,37.89,27 Dec 2020,29 Dec 2020,131.23,"49380 Rivers Street
Spencerville, AK 68265",4.075084747483976e+18
gbeck@example.net,False,BASIC,20.516135593220337,30 Dec 2020,25 Jun 2023,152.97427055702917,"844 Graham Mills Suite 597
Harrisonbury, AK 72675",2712354529654762
anthonyparrish@example.net,False,DELUXE,0.0,23 Jan 2024,18 Sep 2020,368.33,"0323 Lisa Station Apt. 208
Port Thomas, LA 82585",38983476971380.0
prose@example.com,False,BASIC,20.516135593220337,29 Feb 2024,31 Dec 2020,115.61,"77 Massachusetts Ave
Cambridge, MA 02139",4969551998845740.0
misty33@smith.biz,False,BASIC,16.45,05 Apr 2020,16 Sep 2024,122.41,"1234 Corporate Drive
Boston, MA 02116",3558512986488983.0
garciacarol@reid-crawford.biz,True,BASIC,0.0,18 Oct 2020,20 Oct 2020,177.76,"653 Brianna Mill
Burtonview, TX 66595",4.701079720447405e+18
phillipsmatthew@powers-martinez.com,False,BASIC,19.56,22 Nov 2020,24 Nov 2020,108.09,"PSC 7625, Box 7334
APO AA 77424",6011956907055260.0
bdavis@example.net,True,BASIC,15.23,22 Apr 2024,27 Jan 2024,111.12,"993 Rebecca Landing
Jesseburgh, PA 05072",2362775692850287
sfernandez@example.net,False,BASIC,20.516135593220337,06 Jan 2020,08 Jan 2020,124.23,"4886 Dudley Ramp Suite 886
Tonyabury, MH 99115",4779208902549.0
monicamcdonald@example.org,False,BASIC,37.1,22 Jan 2020,03 Sep 2023,114.44,"219 Kimberly Motorway Suite 196
New Crystalside, WA 60172",676384499254.0
courtney10@mack-mccormick.com,False,BASIC,14.55,15 Jun 2020,16 Jun 2020,106.09,"4084 Heather Locks Apt. 091
Blackwellport, GA 62060",3576959406725080.0
jeremyhunt@nguyen.com,False,BASIC,4.54,23 Oct 2020,25 Oct 2020,152.97427055702917,"PSC 3287, Box 9500
APO AP 41046",675991525725.0
wford@example.com,False,BASIC,20.516135593220337,07 Mar 2020,09 Mar 2020,114.03,"241 Castro Fields Suite 715
East Timothy, OH 09119",344135176720398
hwaters@sexton.net,False,BASIC,20.516135593220337,12 Aug 2020,13 Aug 2020,136.73,"PSC 3523, Box 6093
APO AE 37489",3514753932493239
michael21@miller.com,True,BASIC,0.0,01 Oct 2020,05 Oct 2020,83.8,"PSC 3906, Box 8892
APO AE 45779",4253047975942.0
tamara85@baker.net,False,BASIC,20.516135593220337,19 Jul 2020,15 Nov 2024,109.97,"2189 Cooper Falls
Calderonstad, MS 74354",4750525855643961
erinnguyen@mcgee-cole.biz,False,DELUXE,12.87,08 May 2023,16 Jul 2020,238.52,"0323 Lisa Station Apt. 208
Port Thomas, LA 82585",3509825543444962.0
roberto53@diaz.com,False,BASIC,12.31,05 Nov 2023,04 Mar 2020,152.97427055702917,"3654 Michelle Neck
Ryanport, IA 84925",3559348543878898.0
andrew80@bush.com,False,DELUXE,17.7,16 Jul 2020,19 Jul 2020,179.43,"PSC 7238, Box 7911
APO AP 10973",2247314498652894.0
chaveztracy@example.com,False,BASIC,7.56,03 Apr 2024,08 Jun 2024,138.28,"703 Edwards Orchard Apt. 348
North William, AL 38402",2290513662982427.0
jamieclark@gray-barnes.org,False,BASIC,20.516135593220337,01 Sep 2023,15 Jul 2023,107.53,"3935 Alvarez Vista
Nicholston, NH 71735",180065036602337.0
jessica28@payne-roach.info,False,BASIC,10.76,13 Oct 2020,16 Oct 2020,108.53,"1673 Perez Forge
Jacksonside, NM 58594",4.670439786825211e+18
gracethompson@example.com,False,BASIC,9.76,22 May 2020,11 Aug 2024,108.4,"480 David Greens Apt. 032
Dominicbury, OH 38657",4249793726653.0
ujones@potter.com,True,BASIC,3.77,13 Sep 2020,17 Sep 2020,113.16,"PSC 3287, Box 9500
APO AP 41046",4010294825813198.5
jerryblake@brooks.com,True,BASIC,26.47,27 Jul 2020,30 Jul 2020,154.4,"41684 Richard Glens
Arthurton, VA 17691",213108431357494.0
matthew79@example.net,False,BASIC,14.03,30 Nov 2020,31 May 2023,140.95,"5805 Norris Radial Suite 023
West Stephen, RI 08085",30213206437256.0
gdixon@example.com,True,BASIC,0.0,26 Aug 2020,27 Aug 2020,101.31,"1234 Corporate Drive
Boston, MA 02116",4551878586989.0
