guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
zachary60@example.net,False,BASIC,0.002024356766294139,2020-04-23,2021-11-28,133.86052734032586,"93354 Lisa Junction
Lake Baileytown, WI 90673",2720029444912798.0
yhodge@example.org,False,SUITE,0.002024356766294139,2020-08-02,2020-01-29,120.24940123197476,"USNS Le
FPO AA 12028",340247116800604.0
sarah11@example.net,False,BASIC,0.002024356766294139,2021-06-18,2020-03-12,255.96412022043003,"9012 Dakota Springs Suite 509
New Sabrinafort, NH 83206",3517382137255735.0
jill88@example.org,False,BASIC,0.002024356766294139,2025-01-02,2020-03-05,121.6124794592481,"432 Cheryl Lights
New Melissa, MS 61828",379325068528441.0
briannawelch@example.net,False,DELUXE,0.002024356766294139,2021-09-09,2020-05-20,107.94424174167756,"276 David Valley
Brookston, WV 05494",4131831589683046.0
deborahsawyer@example.com,False,BASIC,0.002024356766294139,2020-01-31,2020-02-11,115.14924471131964,"07042 Lauren Mill
Dawnshire, LA 32432",180055334688781.0
zstephenson@example.com,False,BASIC,0.002024356766294139,2021-05-27,2021-04-07,117.12687273632017,"120 Stewart Throughway Apt. 174
West Brenda, DE 76252",3556236745178980.0
qhawkins@example.org,True,SUITE,0.002024356766294139,2022-09-15,2020-07-16,149.06110091350274,"4506 Evelyn Radial Apt. 220
East Manuel, MT 20840",2341933109547188.0
dennis70@example.net,False,SUITE,0.002024356766294139,2021-07-03,2020-01-30,145.51719242810475,"408 Ali Locks
North William, UT 39701",3542532050093021.0
hatfieldjonathon@example.com,True,BASIC,0.002024356766294139,2021-04-28,2021-09-13,124.93832757739774,"494 Rocha Village
Davisbury, AS 97746",6011973326146349.0
qflores@example.net,True,BASIC,0.002024356766294139,2020-05-29,2020-02-15,131.89095055479302,"890 Hernandez Gardens
South Brittanyshire, ND 00966",3598431856124424.0
watkinskayla@example.org,True,SUITE,0.002024356766294139,2020-08-02,2021-03-07,103.37094177020263,"516 Kevin Common
Gillport, MH 34567",6535110432975017.0
kcaldwell@example.com,False,SUITE,0.002024356766294139,2020-08-10,2020-09-19,133.17468655593376,"USS Cruz
FPO AA 78041",3592322416493571.0
sanfordmichelle@example.com,True,DELUXE,0.002024356766294139,2021-03-03,2020-11-27,107.37003876665418,"Unit 2820 Box 8933
DPO AA 55550",343346562991722.0
richard21@example.com,False,BASIC,0.002024356766294139,2020-03-15,2020-02-17,117.48632631643287,"418 Bailey Forest
New Paula, MA 83563",4972643918170294.0
cynthia33@example.net,True,SUITE,0.002024356766294139,2020-12-17,2020-07-17,130.10220725551878,"6173 Brenda Mews Suite 517
Lake Alexis, AS 24345",30386017870087.0
jamiemedina@example.org,True,BASIC,0.002024356766294139,2020-07-17,2020-01-28,150.00001958593452,"388 Williams Road Suite 841
South Susan, MD 64249",36668644776645.0
lisamoore@example.net,False,BASIC,0.002024356766294139,2020-11-28,2023-07-03,231.15106693983392,"636 Nelson Rest
Lindsayport, MO 55694",2222105056208098.0
georgehernandez@example.net,False,BASIC,0.002024356766294139,2024-11-09,2020-01-09,327.8184144888572,"79611 Barnes Pine Suite 704
Michaelberg, AR 72266",3504297784102789.0
megan18@example.com,False,SUITE,0.002024356766294139,2020-04-05,2020-10-10,243.10472037135904,"95499 Martin Street
Nguyenport, HI 35883",4770288610904.0
chamberseric@example.org,False,BASIC,0.002024356766294139,2021-07-18,2020-08-02,235.0269161377255,"378 Mills Wells
Powershaven, MI 90229",3509247735039007.0
stonephillip@example.net,False,SUITE,0.002024356766294139,2022-05-22,2020-09-15,226.8770299351742,"92876 Luke Wells
Toddshire, NC 81975",3587910997175067.0
